"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0"
"1",2002-01-01,0,0,0,0,0,0,0,-0.495528496719732,-0.327331078971892,-1.095336285586,-0.858504827510359,37.934,0,0.014009002197144,-8.85,0,26.70252,32.56884,34.1563,0,2.06437997899048,15,0,0
"2",2002-01-02,0,0,0,0,0,0,0,-0.495528496719732,-0.327331078971892,-1.095336285586,-0.858504827510359,37.934,0,0.0262226914443419,-8.699,0,26.70252,32.56884,34.1563,0,2.06437997899048,15,0,0
"3",2002-01-03,0,0,0,0,0,0,0,-0.495528496719732,-0.327331078971892,-1.095336285586,-0.858504827510359,37.934,0,0.0135495300397962,-9.459,0,26.70252,32.56884,34.1563,0,2.06437997899048,15,0,0
"4",2002-01-04,0,0,0,0,0,0,0,-0.495528496719732,-0.327331078971892,-1.095336285586,-0.858504827510359,37.934,0,0.027131983731255,-9.098,0,26.70252,32.56884,34.1563,0,2.06437997899048,15,0,0
"5",2002-01-05,0,0,0,0,0,0,0,-0.495528496719732,-0.327331078971892,-1.095336285586,-0.858504827510359,37.934,0,0.0382670784118725,-8.489,0,26.70252,32.56884,34.1563,0,2.06437997899048,15,0,0
"6",2002-01-06,0,0,0,0,0,0,0,-0.357376308728156,-0.0203220084530916,-0.716173965540553,-0.875760868494549,37.934,0,0.0295872897821657,-7.825,0,27.50168,30.60292,32.6792,0,2.06437997899048,15,0,0
"7",2002-01-07,0,0,0,0,0,0,0,-0.357376308728156,-0.0203220084530916,-0.716173965540553,-0.875760868494549,37.934,0,0.0294159737462654,-6.963,0,27.50168,30.60292,32.6792,0,2.06437997899048,15,0,0
"8",2002-01-08,0,0,0,0,0,0,0,-0.357376308728156,-0.0203220084530916,-0.716173965540553,-0.875760868494549,37.934,0,0.0263630037088529,-7.812,0,27.50168,30.60292,32.6792,0,2.06437997899048,32,0,0
"9",2002-01-09,0,0,0,0,0,0,0,-0.357376308728156,-0.0203220084530916,-0.716173965540553,-0.875760868494549,37.934,0,0.0245008011147279,-7.018,0,27.50168,30.60292,32.6792,0,2.06437997899048,32,0,0
"10",2002-01-10,0,0,0,0,0,0,0,-0.357376308728156,-0.0203220084530916,-0.716173965540553,-0.875760868494549,37.934,0,0.0336542583366832,-7.539,0,27.50168,30.60292,32.6792,0,2.06437997899048,32,0,0
"11",2002-01-11,0,0,0,0,0,0,0,-0.369436685237629,-0.0114196718930186,-0.539724681880962,-0.544251317754257,37.934,0,0.0414039374096599,-8.109,0,27.0454,30.644,33.8562,0,2.06437997899048,32,0,0
"12",2002-01-12,0,0,0,0,0,0,0,-0.369436685237629,-0.0114196718930186,-0.539724681880962,-0.544251317754257,37.934,0,0.0300830702168885,-5.246,0,27.0454,30.644,33.8562,0,2.06437997899048,32,0,0
"13",2002-01-13,0,0,0,0,0,0,0,-0.369436685237629,-0.0114196718930186,-0.539724681880962,-0.544251317754257,37.934,0,0.0342585046587424,-5.518,0,27.0454,30.644,33.8562,0,2.06437997899048,32,0,0
"14",2002-01-14,0,0,0,0,0,0,0,-0.369436685237629,-0.0114196718930186,-0.539724681880962,-0.544251317754257,37.934,0,0.0274558008441304,-6.979,0,27.0454,30.644,33.8562,0,2.06437997899048,32,0,0
"15",2002-01-15,0,0,0,0,0,0,0,-0.369436685237629,-0.0114196718930186,-0.539724681880962,-0.544251317754257,37.934,0,0.030935468533357,-8.097,0,27.0454,30.644,33.8562,0,2.06437997899048,41,0,0
"16",2002-01-16,0,0,0,0,0,0,0,-0.357905074931728,0.571942945886995,-0.73765503604903,-0.842367303781229,37.934,0,0.0398386541459889,-6.92,0,25.77844,30.51312,33.1584,0,2.06437997899048,41,0,0
"17",2002-01-17,0,0,0,0,0,0,0,-0.357905074931728,0.571942945886995,-0.73765503604903,-0.842367303781229,37.934,0,0.0227719281017761,-6.812,0,25.77844,30.51312,33.1584,-1.32741932673156,2.06437997899048,41,0,0
"18",2002-01-18,0,0,0,0,0,0,0,-0.357905074931728,0.571942945886995,-0.73765503604903,-0.842367303781229,37.934,0,0.0481029845123658,-6.492,0,25.77844,30.51312,33.1584,-1.32741932673156,2.06437997899048,41,0,0
"19",2002-01-19,0,0,0,0,0,0,0,-0.357905074931728,0.571942945886995,-0.73765503604903,-0.842367303781229,37.934,0,0.0567465361208348,-3.343,0,25.77844,30.51312,33.1584,-1.32741932673156,2.06437997899048,41,0,0
"20",2002-01-20,0,0,0,0,0,0,0,-0.357905074931728,0.571942945886995,-0.73765503604903,-0.842367303781229,37.934,0.0557038671730001,0.0544305189320628,-2.767,0,25.77844,30.51312,33.1584,-1.32741932673156,2.06437997899048,41,0,0
"21",2002-01-21,1,0,0,0,0,0,0,-0.136699026274048,2.42069988618751,1.39840034335664,-1.00308784143023,37.934,0,0.0689683982796775,-0.148,0.3,27.3256,30.0638,32.5059,-1.32741932673156,2.29912394098465,41,0,0
"22",2002-01-22,1,0,0,0,0,0,0,-0.136699026274048,2.42069988618751,1.39840034335664,-1.00308784143023,37.934,0,0.0777776908753792,-2.246,0,27.3256,30.0638,32.5059,-1.32741932673156,2.29912394098465,50,0,0
"23",2002-01-23,1,0,0,0,0,0,0,-0.136699026274048,2.42069988618751,1.39840034335664,-1.00308784143023,37.934,0,0.0498564835955746,-1.705,0,27.3256,30.0638,32.5059,-0.365322494833074,2.29912394098465,50,0,0
"24",2002-01-24,1,0,0,0,0,0,0,-0.136699026274048,2.42069988618751,1.39840034335664,-1.00308784143023,37.934,0.0877626759602366,0.192971491676423,3.806,0,27.3256,30.0638,32.5059,-0.365322494833074,2.29912394098465,50,0,0
"25",2002-01-25,1,0,0,0,0,0,0,-0.136699026274048,2.42069988618751,1.39840034335664,-1.00308784143023,37.934,0,0,-0.42,0,27.3256,30.0638,32.5059,-0.365322494833074,2.29912394098465,50,0,0
"26",2002-01-26,0,0,0,0,0,0,0,-0.567946315573433,1.34860075097477,1.74603582844186,2.6833225293567,37.934,0.0136028554865794,0.0732875735565253,2.001,0,25.91996,30.26972,32.1182,-0.365322494833074,2.11444513585629,50,0,0
"27",2002-01-27,0,0,0,0,0,0,0,-0.567946315573433,1.34860075097477,1.74603582844186,2.6833225293567,37.934,0,0.0602575155458927,2.616,7.9,25.91996,30.26972,32.1182,-0.365322494833074,2.11444513585629,50,0,0
"28",2002-01-28,0,0,0,0,0,0,0,-0.567946315573433,1.34860075097477,1.74603582844186,2.6833225293567,37.934,0,0.0995747778748099,3.851,0,25.91996,30.26972,32.1182,-0.365322494833074,2.11444513585629,50,0,0
"29",2002-01-29,0,0,0,0,0,0,0,-0.567946315573433,1.34860075097477,1.74603582844186,2.6833225293567,37.934,0,0.0829635448815398,1.644,0,25.91996,30.26972,32.1182,-0.365322494833074,2.11444513585629,24,0,0
"30",2002-01-30,0,0,0,0,0,0,0,-0.567946315573433,1.34860075097477,1.74603582844186,2.6833225293567,37.934,0,0.0695039016036745,1.617,0,25.91996,30.26972,32.1182,-0.365322494833074,2.11444513585629,24,0,0
"31",2002-01-31,0,0,0,0,0,0,0,-0.777989025765822,0.387936589996681,1.34986719078287,-0.511718798016996,37.934,0,0.0656146660726038,2.033,0,24.69304,30.53256,30.9895,-0.365322494833074,1.79096606516734,24,0,0
"32",2002-02-01,0,0,0,0,0,0,0,-0.777989025765822,0.387936589996681,1.34986719078287,-0.511718798016996,37.934,0,0.0619888107558594,1.777,0,24.69304,30.53256,30.9895,-0.365322494833074,1.79096606516734,24,0,0
"33",2002-02-02,0,0,0,0,0,0,0,-0.777989025765822,0.387936589996681,1.34986719078287,-0.511718798016996,37.934,0,0.0475033049416312,1.345,0,24.69304,30.53256,30.9895,0.0801405433294101,1.79096606516734,24,0,0
"34",2002-02-03,0,0,0,0,0,0,0,-0.777989025765822,0.387936589996681,1.34986719078287,-0.511718798016996,37.934,0.0551196716897264,0.131423486695218,3.156,0,24.69304,30.53256,30.9895,0.0801405433294101,1.79096606516734,24,0,0
"35",2002-02-04,0,0,0,0,0,0,0,-0.777989025765822,0.387936589996681,1.34986719078287,-0.511718798016996,37.934,0,0.0317206888709443,0.893,0,24.69304,30.53256,30.9895,0.0801405433294101,1.79096606516734,24,0,0
"36",2002-02-05,0,0,0,0,0,0,0,-0.238964083394332,0.972905363710614,0.833265831675773,1.59222199966899,37.934,0,0.131399960595225,1.657,0,24.40192,29.22852,32.0064,0.0801405433294101,0.736453406347416,6,0,0
"37",2002-02-06,0,0,0,0,0,0,0,-0.238964083394332,0.972905363710614,0.833265831675773,1.59222199966899,37.934,0.108575718450964,0.242937320676303,3.86,11.4,24.40192,29.22852,32.0064,0.0801405433294101,0.736453406347416,6,0,0
"38",2002-02-07,0,0,0,0,0,0,0,-0.238964083394332,0.972905363710614,0.833265831675773,1.59222199966899,37.934,0.0700831007373796,0.13210207047272,-1.28,1.1,24.40192,29.22852,32.0064,0.0801405433294101,0.736453406347416,6,0,0
"39",2002-02-08,0,0,0,0,0,0,0,-0.238964083394332,0.972905363710614,0.833265831675773,1.59222199966899,37.934,0.0397979292152907,0.02581720283663,-0.719,0.8,24.40192,29.22852,32.0064,0.0801405433294101,0.736453406347416,6,0,0
"40",2002-02-09,0,0,0,0,0,0,0,-0.238964083394332,0.972905363710614,0.833265831675773,1.59222199966899,37.934,0,0.00598789118137504,2.699,3.9,24.40192,29.22852,32.0064,0.0801405433294101,0.736453406347416,6,0,0
"41",2002-02-10,0,0,0,0,0,0,0,-0.475583465816334,0.487465292237671,1.33930553069689,-0.522323161130513,37.934,0,0.11386790447374,1.072,0.2,20.35184,28.98108,31.8343,0.562601214959798,0.192018833702118,6,0,0
"42",2002-02-11,0,0,0,0,0,0,0,-0.475583465816334,0.487465292237671,1.33930553069689,-0.522323161130513,37.934,0.00629993610993405,0.0652440445470811,2.325,0,20.35184,28.98108,31.8343,0.562601214959798,0.192018833702118,6,0,0
"43",2002-02-12,0,0,0,0,0,0,0,-0.475583465816334,0.487465292237671,1.33930553069689,-0.522323161130513,37.934,0.256764266794589,0.12497584080173,5.498,0,20.35184,28.98108,31.8343,0.562601214959798,0.192018833702118,77,0,0
"44",2002-02-13,0,0,0,0,0,0,0,-0.475583465816334,0.487465292237671,1.33930553069689,-0.522323161130513,37.934,0,0.048370111161017,4.241,0.495,20.35184,28.98108,31.8343,0.562601214959798,0.192018833702118,77,0,0
