"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0"
"1",1996-01-01,0,0,0,0,0,0,0,3.73820193665544,4.0249447314015,-0.321935004359516,-0.803211806075305,24.812,1.28943432668438,2.46835002331902,0.631,0.277,28.23184,29.48124,29.7219,0,2.03573801573725,97,0,0
"2",1996-01-02,0,0,0,0,0,0,0,3.73820193665544,4.0249447314015,-0.321935004359516,-0.803211806075305,24.812,1.32106849045122,2.4288153031642,-1.068,0.035,28.23184,29.48124,29.7219,0,2.03573801573725,97,0,0
"3",1996-01-03,0,0,0,0,0,0,0,3.73820193665544,4.0249447314015,-0.321935004359516,-0.803211806075305,24.812,1.49524398764411,2.41668631583653,-0.99,0.517,28.23184,29.48124,29.7219,0,2.03573801573725,97,0,0
"4",1996-01-04,0,0,0,0,0,0,0,3.73820193665544,4.0249447314015,-0.321935004359516,-0.803211806075305,24.812,1.15053295281747,2.46402267256266,-1.227,0.011,28.23184,29.48124,29.7219,0,2.03573801573725,97,0,0
"5",1996-01-05,0,0,0,0,0,0,0,3.73820193665544,4.0249447314015,-0.321935004359516,-0.803211806075305,24.812,1.47009363524595,2.42717462635522,-1.793,0,28.23184,29.48124,29.7219,0,2.03573801573725,97,0,0
"6",1996-01-06,0,0,0,0,0,0,0,3.77374847815269,4.07294748778351,0.33882093341098,0.0128248582519202,24.812,1.4007691567437,2.4142331420983,-2.081,0.417,28.1116,29.08372,29.4792,0,2.03573801573725,97,0,0
"7",1996-01-07,0,0,0,0,0,0,0,3.77374847815269,4.07294748778351,0.33882093341098,0.0128248582519202,24.812,1.25012610969941,2.47644137178426,3.995,4.144,28.1116,29.08372,29.4792,0,2.03573801573725,97,0,0
"8",1996-01-08,0,0,0,0,0,0,0,3.77374847815269,4.07294748778351,0.33882093341098,0.0128248582519202,24.812,1.36481977564281,2.43884663164209,3.228,0.148,28.1116,29.08372,29.4792,0,2.03573801573725,97,0,0
"9",1996-01-09,0,0,0,0,0,0,0,3.77374847815269,4.07294748778351,0.33882093341098,0.0128248582519202,24.812,1.84938310236875,2.43098577470856,5.092,5.057,28.1116,29.08372,29.4792,0,2.03573801573725,97,0,0
"10",1996-01-10,0,0,0,0,0,0,0,3.77374847815269,4.07294748778351,0.33882093341098,0.0128248582519202,24.812,1.50150178930487,2.47662063904672,4.068,1.224,28.1116,29.08372,29.4792,0,2.03573801573725,97,0,0
