"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0"
"1",2001-01-01,0,0,0,0,0,0,0,0.638355989607478,0.195874698810147,0.521018667474679,1.17300751613707,15.58,0.977631604798696,0.0611385935049141,0.222,0.788,19.83588,21.9896,22.574,0,-0.174599442786698,67,0,0
"2",2001-01-02,0,0,0,0,0,0,0,0.638355989607478,0.195874698810147,0.521018667474679,1.17300751613707,15.58,0.535012180930436,0.0755042864892809,4.505,1.121,19.83588,21.9896,22.574,0,-0.174599442786698,67,0,0
"3",2001-01-03,0,0,0,0,0,0,0,0.638355989607478,0.195874698810147,0.521018667474679,1.17300751613707,15.416,0.442513182717798,0.0538191355958607,4.672,0.304,19.83588,21.9896,22.574,0,-0.174599442786698,67,0,0
"4",2001-01-04,0,0,0,0,0,0,0,0.638355989607478,0.195874698810147,0.521018667474679,1.17300751613707,15.637,0.50042168182558,0.0612994414248083,2.945,1.333,19.83588,21.9896,22.574,0,-0.174599442786698,67,0,0
"5",2001-01-05,0,0,0,0,0,0,0,0.638355989607478,0.195874698810147,0.521018667474679,1.17300751613707,15.58,0.52427541961784,0.0756149719055255,5.963,8.397,19.83588,21.9896,22.574,0,-0.174599442786698,67,0,0
"6",2001-01-06,0,0,0,0,0,0,0,0.0312255176400592,-0.231840010847794,0.320211350668276,0.456196651574074,15.416,0.693148802816666,0.0539724129632616,7.477,2.186,19.05476,20.85668,22.2617,0,-0.160839280625417,67,0,0
"7",2001-01-07,0,0,0,0,0,0,0,0.0312255176400592,-0.231840010847794,0.320211350668276,0.456196651574074,15.637,0.5047654558458,0.0614172019990063,4.883,0.095,19.05476,20.85668,22.2617,0,-0.160839280625417,67,0,0
"8",2001-01-08,0,0,0,0,0,0,0,0.0312255176400592,-0.231840010847794,0.320211350668276,0.456196651574074,15.58,0.385165813568733,0.0753847980614541,2.902,0.098,19.05476,20.85668,22.2617,0,-0.160839280625417,47,0,0
"9",2001-01-09,0,0,0,0,0,0,0,0.0312255176400592,-0.231840010847794,0.320211350668276,0.456196651574074,15.416,0.384286932036508,0.05366435989294,1.741,0.272,19.05476,20.85668,22.2617,0,-0.160839280625417,47,0,0
"10",2001-01-10,0,0,0,0,0,0,0,0.0312255176400592,-0.231840010847794,0.320211350668276,0.456196651574074,15.637,0.227993925326495,0.0611246159514713,-0.019,2.306,19.05476,20.85668,22.2617,0,-0.160839280625417,47,0,0
"11",2001-01-11,0,0,0,0,0,0,0,-0.509622579765412,-0.348878029950357,-0.866998067515735,-0.212196614599261,15.58,0.260625142283294,0.0751388126279441,-0.5,2.18,19.12684,19.97368,21.4404,0,-0.233409857912587,47,0,0
"12",2001-01-12,0,0,0,0,0,0,0,-0.509622579765412,-0.348878029950357,-0.866998067515735,-0.212196614599261,15.416,0.201385174050801,0.0534220689564894,-3.071,0,19.12684,19.97368,21.4404,0,-0.233409857912587,47,0,0
"13",2001-01-13,0,0,0,0,0,0,0,-0.509622579765412,-0.348878029950357,-0.866998067515735,-0.212196614599261,15.637,0.316913361316103,0.0609128327459423,-3.763,0.054,19.12684,19.97368,21.4404,0,-0.233409857912587,47,0,0
"14",2001-01-14,0,0,0,0,0,0,0,-0.509622579765412,-0.348878029950357,-0.866998067515735,-0.212196614599261,15.734,0.340413919607697,0.074865585993278,-4.457,0,19.12684,19.97368,21.4404,0,-0.233409857912587,47,0,0
"15",2001-01-15,0,0,0,0,0,0,0,-0.509622579765412,-0.348878029950357,-0.866998067515735,-0.212196614599261,15.585,0.392752923796404,0.0794107810188959,-4.352,0,19.12684,19.97368,21.4404,0,-0.233409857912587,12,0,0
"16",2001-01-16,0,0,0,0,0,0,0,-0.852344501929692,-0.255623766230814,-1.82751142459645,-0.793946869642634,15.811,0.112726491772742,0.0722946985782842,-6.705,0,18.98608,21.39172,22.7131,0,1.70564470887671,12,0,0
"17",2001-01-17,0,0,0,0,0,0,0,-0.852344501929692,-0.255623766230814,-1.82751142459645,-0.793946869642634,15.435,0.108021179100545,0.062367403553788,-8.379,0,18.98608,21.39172,22.7131,0.349795688348348,1.70564470887671,12,0,0
"18",2001-01-18,0,0,0,0,0,0,0,-0.852344501929692,-0.255623766230814,-1.82751142459645,-0.793946869642634,15.172,0.092603161376687,0.0425179831701149,-6.759,0,18.98608,21.39172,22.7131,0.349795688348348,1.70564470887671,12,0,0
"19",2001-01-19,0,0,0,0,0,0,0,-0.852344501929692,-0.255623766230814,-1.82751142459645,-0.793946869642634,15.226,0.15776230862511,0.0781290017108895,-5.905,0,18.98608,21.39172,22.7131,0.349795688348348,1.70564470887671,12,0,0
"20",2001-01-20,0,0,0,0,0,0,0,-0.852344501929692,-0.255623766230814,-1.82751142459645,-0.793946869642634,15.575,0.117528635260815,0.0523317197987461,-2.652,0,18.98608,21.39172,22.7131,0.349795688348348,1.70564470887671,12,0,0
"21",2001-01-21,0,0,0,0,0,0,0,-0.680611860658008,-0.104613138998925,0.596152261062881,0.153898183109065,15.562,0.0580291294948358,0.0230858856883159,-3.464,0.135,21.76712,22.81136,25.9521,0.349795688348348,0.278891372225821,12,0,0
"22",2001-01-22,0,0,0,0,0,0,0,-0.680611860658008,-0.104613138998925,0.596152261062881,0.153898183109065,15.692,0,0.00344973089064105,-0.299,2.838,21.76712,22.81136,25.9521,0.349795688348348,0.278891372225821,74,0,0
"23",2001-01-23,0,0,0,0,0,0,0,-0.680611860658008,-0.104613138998925,0.596152261062881,0.153898183109065,16.846,0.218050148921082,0.0165421070331234,4.066,1.487,21.76712,22.81136,25.9521,-0.0615261266244314,0.278891372225821,74,0,0
"24",2001-01-24,0,0,0,0,0,0,0,-0.680611860658008,-0.104613138998925,0.596152261062881,0.153898183109065,24.094,0.291281064155914,0,7.682,0.135,21.76712,22.81136,25.9521,-0.0615261266244314,0.278891372225821,74,0,0
"25",2001-01-25,0,0,0,0,0,0,0,-0.680611860658008,-0.104613138998925,0.596152261062881,0.153898183109065,36.437,0.678271588208238,0.379069924979019,6.097,0,21.76712,22.81136,25.9521,-0.0615261266244314,0.278891372225821,74,0,0
"26",2001-01-26,0,0,0,0,0,0,0,0.0222568331564032,0.0842756032715051,0.524268859020941,-0.802314589402422,34.62,0.664432489470957,0.295185266334134,4.421,0,20.35184,24.59812,26.3494,-0.0615261266244314,0.671067306640249,74,0,0
"27",2001-01-27,0,0,0,0,0,0,0,0.0222568331564032,0.0842756032715051,0.524268859020941,-0.802314589402422,32.493,0.374651859510809,0.123544550592462,2.08,0.135,20.35184,24.59812,26.3494,-0.0615261266244314,0.671067306640249,74,0,0
"28",2001-01-28,0,0,0,0,0,0,0,0.0222568331564032,0.0842756032715051,0.524268859020941,-0.802314589402422,32.861,1.07472920654182,0.488991488533867,3.473,0,20.35184,24.59812,26.3494,-0.0615261266244314,0.671067306640249,74,0,0
"29",2001-01-29,0,0,0,0,0,0,0,0.0222568331564032,0.0842756032715051,0.524268859020941,-0.802314589402422,32.057,0.167773452364371,0.0606287618711249,1.945,0,20.35184,24.59812,26.3494,-0.0615261266244314,0.671067306640249,26,0,0
"30",2001-01-30,0,0,0,0,0,0,0,0.0222568331564032,0.0842756032715051,0.524268859020941,-0.802314589402422,31.54,0.123658551904855,0.0795952411711096,0.943,0,20.35184,24.59812,26.3494,-0.0615261266244314,0.671067306640249,26,0,0
"31",2001-01-31,0,0,0,0,0,0,0,-0.765769061042123,-0.423773712248197,-0.423609913049569,1.29713619338007,31.541,0.161047651516421,0.0793097584674636,0.836,0.135,20.73212,24.48368,26.6354,-0.0615261266244314,0.799479930498511,26,0,0
"32",2001-02-01,0,0,0,0,0,0,0,-0.765769061042123,-0.423773712248197,-0.423609913049569,1.29713619338007,31.015,0.229924009514379,0.051709950226845,-0.373,0.676,20.73212,24.48368,26.6354,-0.0615261266244314,0.799479930498511,26,0,0
"33",2001-02-02,0,0,0,0,0,0,0,-0.765769061042123,-0.423773712248197,-0.423609913049569,1.29713619338007,30.377,0.246572101973387,0.0814624558628435,-2.919,1.622,20.73212,24.48368,26.6354,-0.218047680675163,0.799479930498511,26,0,0
"34",2001-02-03,0,0,0,0,0,0,0,-0.765769061042123,-0.423773712248197,-0.423609913049569,1.29713619338007,30.27,0.0373496160287722,0.015439201572054,-3.584,3.108,20.73212,24.48368,26.6354,-0.218047680675163,0.799479930498511,26,0,0
"35",2001-02-04,0,0,0,0,0,0,0,-0.765769061042123,-0.423773712248197,-0.423609913049569,1.29713619338007,30.216,0.0748953390118379,0.0267288345159881,-2.379,4.865,20.73212,24.48368,26.6354,-0.218047680675163,0.799479930498511,26,0,0
"36",2001-02-05,0,0,0,0,0,0,0,1.12190909744293,0.807863884691435,1.2606966580482,-0.371588706853914,32.614,0.732528778582503,0.16131842645145,6.215,0.405,20.40868,24.07988,25.8383,-0.218047680675163,0.248450248128456,74,0,0
"37",2001-02-06,0,0,0,0,0,0,0,1.12190909744293,0.807863884691435,1.2606966580482,-0.371588706853914,32.208,1.45185389314064,0.4548759055445,11.327,0.135,20.40868,24.07988,25.8383,-0.218047680675163,0.248450248128456,74,0,0
