"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0"
"1",2004-01-01,0,0,0,0,0,0,0,1.42536738577897,-0.625462757066574,-1.16209266312476,-0.785432723231092,32.3376245518703,0.326597904868414,0.190017387156126,-2.57912758723833,0.59923666090276,35.3469069172367,37.0610694932968,38.0891417086474,0,-0.611236821635438,85,0,0
"2",2004-01-02,0,0,0,0,0,0,0,1.42536738577897,-0.625462757066574,-1.16209266312476,-0.785432723231092,32.1217635321426,0.300014577637589,0.184868275980314,-5.20571052293554,0.247659294246507,35.3469069172367,37.0610694932968,38.0891417086474,0,-0.611236821635438,85,0,0
"3",2004-01-03,0,0,0,0,0,0,0,1.42536738577897,-0.625462757066574,-1.16209266312476,-0.785432723231092,31.8736064205091,0.347145140882809,0.194521711315209,-5.49019919171682,0.255943672047006,35.3469069172367,37.0610694932968,38.0891417086474,0,-0.611236821635438,85,0,0
"4",2004-01-04,0,0,0,0,0,0,0,1.42536738577897,-0.625462757066574,-1.16209266312476,-0.785432723231092,31.7615961471443,0.248803958620045,0.0969727886288297,-8.30122063415741,0.910118838363584,35.3469069172367,37.0610694932968,38.0891417086474,0,-0.611236821635438,85,0,0
"5",2004-01-05,0,0,0,0,0,0,0,1.42536738577897,-0.625462757066574,-1.16209266312476,-0.785432723231092,31.5834790472309,0.227841923125017,0.106070049659774,-7.6709698708909,3.7201216523082,35.3469069172367,37.0610694932968,38.0891417086474,0,-0.611236821635438,85,0,0
"6",2004-01-06,0,0,0,0,0,0,0,-0.535669952397757,-0.891716493342432,-0.48940130133639,0.0692057518149051,31.0255530661827,0.389841385665801,0.243696493098625,-12.2316155166862,2.27922127486706,36.5218498996532,37.9548621459107,38.0516149481099,0,-0.804808817473942,85,0,0
"7",2004-01-07,0,0,0,0,0,0,0,-0.535669952397757,-0.891716493342432,-0.48940130133639,0.0692057518149051,31.9309185472951,0.145182310229679,0.0466164691990369,-1.5985466994313,5.7191274815724,36.5218498996532,37.9548621459107,38.0516149481099,0,-0.804808817473942,85,0,0
"8",2004-01-08,0,0,0,0,0,0,0,-0.535669952397757,-0.891716493342432,-0.48940130133639,0.0692057518149051,32.903734489642,0.172294108279324,0.0375857168100901,-1.00851520830566,0.0800823187381752,36.5218498996532,37.9548621459107,38.0516149481099,0,-0.804808817473942,32,0,0
"9",2004-01-09,0,0,0,0,0,0,0,-0.535669952397757,-0.891716493342432,-0.48940130133639,0.0692057518149051,33.1969155781155,0.141903046631272,0.0713171856607887,-1.14170934781234,3.79075687355455,36.5218498996532,37.9548621459107,38.0516149481099,0,-0.804808817473942,32,0,0
"10",2004-01-10,0,0,0,0,0,0,0,-0.535669952397757,-0.891716493342432,-0.48940130133639,0.0692057518149051,35.5107522262017,0.16146476847716,0.0690182066532013,1.15312469838125,3.10882177460823,36.5218498996532,37.9548621459107,38.0516149481099,0,-0.804808817473942,32,0,0
"11",2004-01-11,0,0,0,0,0,0,0,0.357753124407416,0.440403117475268,0.787396118633291,1.73300466047589,39.2466673961722,0.217790980360593,0.100838222643436,2.34630788725748,5.37990401163619,36.5121459359643,37.5837456064439,37.7909386415889,0,-0.623048321928663,32,0,0
"12",2004-01-12,0,0,0,0,0,0,0,0.357753124407416,0.440403117475268,0.787396118633291,1.73300466047589,42.2498374975921,0.326766078158895,0.352612922371552,3.51108685917342,9.99720924574224,36.5121459359643,37.5837456064439,37.7909386415889,0,-0.623048321928663,32,0,0
"13",2004-01-13,0,0,0,0,0,0,0,0.357753124407416,0.440403117475268,0.787396118633291,1.73300466047589,42.610591195908,0.170266645366085,0.298495720798813,3.4350102684031,11.9138073168857,36.5121459359643,37.5837456064439,37.7909386415889,0,-0.623048321928663,32,0,0
"14",2004-01-14,0,0,0,0,0,0,0,0.357753124407416,0.440403117475268,0.787396118633291,1.73300466047589,41.2299210520724,0.655721569276707,0.727863471505039,3.68961783832652,0.393144595620179,36.5121459359643,37.5837456064439,37.7909386415889,0,-0.623048321928663,32,0,0
"15",2004-01-15,0,0,0,0,0,0,0,0.357753124407416,0.440403117475268,0.787396118633291,1.73300466047589,39.5225033823362,0.370008709869649,0.630464577420127,2.10962897664879,3.44266766597219,36.5121459359643,37.5837456064439,37.7909386415889,0,-0.623048321928663,85,0,0
