"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","Ford  Modified","Multi-criteria","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0","score_perc"
"1",2002-01-01,0,0,0,0,0,0,0,0,0,2.54673566794091,3.0070707993567,-1.37035143674753,-0.559334258407507,42.106,0.860848492047744,0.667566158950125,-2.863,1.354,37.57128,39.698,41.3954,0,2.98071390859929,94,0,0,70
"2",2002-01-02,0,0,0,0,0,0,0,0,0,2.54673566794091,3.0070707993567,-1.37035143674753,-0.559334258407507,42.106,0.842297365332265,0.629061550314837,-1.744,0.952,37.57128,39.698,41.3954,0,2.98071390859929,94,0,0,70
"3",2002-01-03,0,0,0,0,0,0,0,0,0,2.54673566794091,3.0070707993567,-1.37035143674753,-0.559334258407507,42.106,0.758426477482688,0.588925340114177,-8.346,0.017,37.57128,39.698,41.3954,0,2.98071390859929,94,0,0,70
"4",2002-01-04,0,0,0,0,0,0,0,0,0,2.54673566794091,3.0070707993567,-1.37035143674753,-0.559334258407507,42.106,0.625856917037526,0.662377699044966,-11.858,0,37.57128,39.698,41.3954,0,2.98071390859929,94,0,0,70
"5",2002-01-05,0,0,0,0,0,0,0,0,0,2.54673566794091,3.0070707993567,-1.37035143674753,-0.559334258407507,42.106,0.608367742708866,0.623853333846892,-11.224,0,37.57128,39.698,41.3954,0,2.98071390859929,94,0,0,70
"6",2002-01-06,0,0,0,0,0,0,0,0,0,2.37027099655705,2.99142336656227,-0.448019663358187,-0.850688080506334,42.106,0.80715553453373,0.590082063356542,-6.088,0.347,37.69436,39.25208,40.3437,0,1.45247884043701,94,0,0,70
"7",2002-01-07,0,0,0,0,0,0,0,0,0,2.37027099655705,2.99142336656227,-0.448019663358187,-0.850688080506334,42.106,0.934559130210177,0.669339734960006,-0.016,0.617,37.69436,39.25208,40.3437,0,1.45247884043701,94,0,0,70
"8",2002-01-08,0,0,0,0,0,0,0,0,0,2.37027099655705,2.99142336656227,-0.448019663358187,-0.850688080506334,42.106,0.916892780029298,0.629201377097175,-1.505,0.19,37.69436,39.25208,40.3437,0,1.45247884043701,94,0,0,70
"9",2002-01-09,0,0,0,0,0,0,0,0,0,2.37027099655705,2.99142336656227,-0.448019663358187,-0.850688080506334,42.106,0.885379591462064,0.590548153898484,-5.197,0.009,37.69436,39.25208,40.3437,0,1.45247884043701,94,0,0,70
"10",2002-01-10,0,0,0,0,0,0,0,0,0,2.37027099655705,2.99142336656227,-0.448019663358187,-0.850688080506334,42.106,0.717273046072566,0.665011124010412,-7.157,0.047,37.69436,39.25208,40.3437,0,1.45247884043701,94,0,0,70
"11",2002-01-11,0,0,0,0,0,0,0,0,0,2.7647379500465,3.0034470714636,-0.867035244131826,-0.70821738068515,42.106,0.835784739698004,0.628119745884357,-3.373,0.229,37.6624,39.78764,40.0736,0,2.39762741437029,94,0,0,70
"12",2002-01-12,0,0,0,0,0,0,0,0,0,2.7647379500465,3.0034470714636,-0.867035244131826,-0.70821738068515,42.106,1.03011905927839,0.593039128389036,-0.602,0.675,37.6624,39.78764,40.0736,0,2.39762741437029,94,0,0,70
"13",2002-01-13,0,0,0,0,0,0,0,0,0,2.7647379500465,3.0034470714636,-0.867035244131826,-0.70821738068515,42.106,0.944684585557014,0.668584405406802,-1.216,0.104,37.6624,39.78764,40.0736,0,2.39762741437029,94,0,0,70
"14",2002-01-14,0,0,0,0,0,0,0,0,0,2.7647379500465,3.0034470714636,-0.867035244131826,-0.70821738068515,42.106,0.778278888183099,0.627466648421883,-4.523,0,37.6624,39.78764,40.0736,0,2.39762741437029,94,0,0,70
"15",2002-01-15,0,0,0,0,0,0,0,0,0,2.7647379500465,3.0034470714636,-0.867035244131826,-0.70821738068515,42.106,0.840442513587336,0.590034768328607,-6.179,0,37.6624,39.78764,40.0736,0,2.39762741437029,94,0,0,81
"16",2002-01-16,0,0,0,0,0,0,0,0,0,2.65424555824383,3.00507055367949,-0.6755615249126,-0.379874569803588,42.106,0.795529246088807,0.665816014877976,-5.778,0.116,37.59024,40.06544,41.3,0,2.63400130003689,94,0,0,81
"17",2002-01-17,0,0,0,0,0,0,0,0,0,2.65424555824383,3.00507055367949,-0.6755615249126,-0.379874569803588,42.106,0.885664644587457,0.628951275207491,-1.933,0.037,37.59024,40.06544,41.3,-1.2529751206514,2.63400130003689,94,0,0,81
"18",2002-01-18,0,0,0,0,0,0,0,0,0,2.65424555824383,3.00507055367949,-0.6755615249126,-0.379874569803588,42.106,1.01455611823849,0.593049175216818,-0.584,0.696,37.59024,40.06544,41.3,-1.2529751206514,2.63400130003689,94,0,0,81
"19",2002-01-19,0,0,0,0,0,0,0,0,0,2.65424555824383,3.00507055367949,-0.6755615249126,-0.379874569803588,42.106,1.04076328678318,0.670712380618795,2.12,1.134,37.59024,40.06544,41.3,-1.2529751206514,2.63400130003689,94,0,0,81
"20",2002-01-20,0,0,0,0,0,0,0,0,0,2.65424555824383,3.00507055367949,-0.6755615249126,-0.379874569803588,42.106,1.00624936455183,0.631896622628159,2.968,5.124,37.59024,40.06544,41.3,-1.2529751206514,2.63400130003689,94,0,0,81
"21",2002-01-21,0,0,0,0,0,0,0,0,0,2.68787035920549,2.95612707432983,1.48530755408324,0.293639938331339,42.106,1.10981188759083,0.596973785360921,6.16,3.136,37.29236,40.22796,41.9356,-1.2529751206514,1.77460067582707,94,0,0,81
"22",2002-01-22,0,0,0,0,0,0,0,0,0,2.68787035920549,2.95612707432983,1.48530755408324,0.293639938331339,42.106,1.24207525425359,0.671756349382596,3.708,0.236,37.29236,40.22796,41.9356,-1.2529751206514,1.77460067582707,94,0,0,92
"23",2002-01-23,0,0,0,0,0,0,0,0,0,2.68787035920549,2.95612707432983,1.48530755408324,0.293639938331339,42.106,1.38126585337985,0.632682844319614,4.228,0.524,37.29236,40.22796,41.9356,-1.55775766962846,1.77460067582707,94,0,0,92
"24",2002-01-24,0,0,0,0,0,0,0,0,0,2.68787035920549,2.95612707432983,1.48530755408324,0.293639938331339,42.106,1.32400328887473,0.596922921463596,6.076,1.937,37.29236,40.22796,41.9356,-1.55775766962846,1.77460067582707,94,0,0,92
"25",2002-01-25,0,0,0,0,0,0,0,0,0,2.68787035920549,2.95612707432983,1.48530755408324,0.293639938331339,42.106,1.18847440484866,0.67049341349662,1.783,0.944,37.29236,40.22796,41.9356,-1.55775766962846,1.77460067582707,94,0,0,92
"26",2002-01-26,0,0,0,0,0,0,0,0,0,2.93047434448891,2.90932806279916,2.07211582952687,2.38391241594051,42.106,1.39439292238432,0.633880739994685,6.112,3.756,37.00768,39.34572,40.5406,-1.55775766962846,0.494903628895793,94,0,0,92
"27",2002-01-27,0,0,0,0,0,0,0,0,0,2.93047434448891,2.90932806279916,2.07211582952687,2.38391241594051,42.106,1.22692103116908,0.597358090072455,6.792,12.488,37.00768,39.34572,40.5406,-1.55775766962846,0.494903628895793,94,0,0,92
"28",2002-01-28,0,0,0,0,0,0,0,0,0,2.93047434448891,2.90932806279916,2.07211582952687,2.38391241594051,42.106,1.44571304477246,0.674951204561442,8.389,3.481,37.00768,39.34572,40.5406,-1.55775766962846,0.494903628895793,94,0,0,92
