"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","Ford  Modified","Multi-criteria","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0","score_perc"
"1",1996-01-01,0,0,0,0,0,0,0,0,0,-0.155498263707048,0.644786734146423,-1.2677560352139,-1.0553027598238,16.953,0.435957444555005,0.276455415942339,-6.317,0.099,18.36028,25.3716,26.7836,0,0.63815912570401,71,0,0,23
"2",1996-01-02,0,0,0,0,0,0,0,0,0,-0.155498263707048,0.644786734146423,-1.2677560352139,-1.0553027598238,16.953,0.288106539554055,0.379680733198354,-8.194,0.301,18.36028,25.3716,26.7836,0,0.63815912570401,71,0,0,23
"3",1996-01-03,0,0,0,0,0,0,0,0,0,-0.155498263707048,0.644786734146423,-1.2677560352139,-1.0553027598238,16.953,0.458100526655549,0.50602117656336,-6.493,1.183,18.36028,25.3716,26.7836,0,0.63815912570401,71,0,0,23
"4",1996-01-04,0,0,0,0,0,0,0,0,0,-0.155498263707048,0.644786734146423,-1.2677560352139,-1.0553027598238,16.953,0.476416179737449,0.276577294411517,-5.817,0.42,18.36028,25.3716,26.7836,0,0.63815912570401,71,0,0,23
"5",1996-01-05,0,0,0,0,0,0,0,0,0,-0.155498263707048,0.644786734146423,-1.2677560352139,-1.0553027598238,16.953,0.313332690202249,0.380022390683479,-7.153,0,18.36028,25.3716,26.7836,0,0.63815912570401,71,0,0,23
"6",1996-01-06,0,0,0,0,0,0,0,0,0,0.293983167552434,1.08692725287641,-0.226712197569507,-0.758747223262721,16.953,0.438967057401555,0.506479096125353,-5.468,0,18.54132,24.9728,25.706,0,1.10647561212847,71,0,0,23
"7",1996-01-07,0,0,0,0,0,0,0,0,0,0.293983167552434,1.08692725287641,-0.226712197569507,-0.758747223262721,16.953,0.630509060325866,0.277806780045309,-0.947,0.142,18.54132,24.9728,25.706,0,1.10647561212847,71,0,0,23
"8",1996-01-08,0,0,0,0,0,0,0,0,0,0.293983167552434,1.08692725287641,-0.226712197569507,-0.758747223262721,16.953,0.490749370558289,0.383195826578642,1.896,2.238,18.54132,24.9728,25.706,0,1.10647561212847,71,0,0,23
"9",1996-01-09,0,0,0,0,0,0,0,0,0,0.293983167552434,1.08692725287641,-0.226712197569507,-0.758747223262721,16.953,0.801453541522078,0.509553809116723,1.084,0,18.54132,24.9728,25.706,0,1.10647561212847,71,0,0,23
"10",1996-01-10,0,0,0,0,0,0,0,0,0,0.293983167552434,1.08692725287641,-0.226712197569507,-0.758747223262721,16.953,0.801889500351202,0.278149646096878,0.359,0,18.54132,24.9728,25.706,0,1.10647561212847,71,0,0,23
"11",1996-01-11,0,0,0,0,0,0,0,0,0,0.775259329005408,1.56411259408105,0.334733924061637,-0.668222738548761,16.953,0.958592998739628,0.383554503302592,2.857,0.216,18.20524,23.26408,24.1094,0,0.417853843014715,71,0,0,23
"12",1996-01-12,0,0,0,0,0,0,0,0,0,0.775259329005408,1.56411259408105,0.334733924061637,-0.668222738548761,16.953,1.13020307551279,0.510660055530133,3.316,0.353,18.20524,23.26408,24.1094,0,0.417853843014715,71,0,0,23
"13",1996-01-13,0,0,0,0,0,0,0,0,0,0.775259329005408,1.56411259408105,0.334733924061637,-0.668222738548761,16.953,0.950715485662407,0.278769549356717,2.668,0,18.20524,23.26408,24.1094,0,0.417853843014715,71,0,0,23
"14",1996-01-14,0,0,0,0,0,0,0,0,0,0.775259329005408,1.56411259408105,0.334733924061637,-0.668222738548761,16.953,0.731298958756073,0.383049246211104,1.5,0,18.20524,23.26408,24.1094,0,0.417853843014715,71,0,0,23
"15",1996-01-15,0,0,0,0,0,0,0,0,0,0.775259329005408,1.56411259408105,0.334733924061637,-0.668222738548761,16.953,0.875610600167135,0.508736169318968,-0.606,0.077,18.20524,23.26408,24.1094,0,0.417853843014715,60,0,0,87
"16",1996-01-16,0,0,0,0,0,0,0,0,0,-0.25554591942732,1.19217807605887,-1.24507360012101,-1.01769554561658,16.953,0.718913050079042,0.277832053504092,-0.85,0.104,17.21484,24.33188,27.2802,0,1.39488391392693,60,0,0,87
"17",1996-01-17,0,0,0,0,0,0,0,0,0,-0.25554591942732,1.19217807605887,-1.24507360012101,-1.01769554561658,16.953,0.508240615007008,0.382993171839926,1.348,0,17.21484,24.33188,27.2802,-1.68813446623242,1.39488391392693,60,0,0,87
"18",1996-01-18,0,0,0,0,0,0,0,0,0,-0.25554591942732,1.19217807605887,-1.24507360012101,-1.01769554561658,16.953,0.520344964246697,0.506185312418965,-6.124,0.11,17.21484,24.33188,27.2802,-1.68813446623242,1.39488391392693,60,0,0,87
"19",1996-01-19,0,0,0,0,0,0,0,0,0,-0.25554591942732,1.19217807605887,-1.24507360012101,-1.01769554561658,16.953,0.46540201182539,0.2765931978931,-5.752,0.415,17.21484,24.33188,27.2802,-1.68813446623242,1.39488391392693,60,0,0,87
"20",1996-01-20,0,0,0,0,0,0,0,0,0,-0.25554591942732,1.19217807605887,-1.24507360012101,-1.01769554561658,16.953,0.32292668895661,0.380210498535132,-6.586,0.206,17.21484,24.33188,27.2802,-1.68813446623242,1.39488391392693,60,0,0,87
"21",1996-01-21,0,0,0,0,0,0,0,0,0,-0.201502768148774,1.16241992936263,-1.42449142006104,-1.0160979592363,16.953,0.448046787087853,0.506103366395825,-6.308,0,18.04008,26.07268,27.7014,-1.68813446623242,1.50025217535871,60,0,0,87
"22",1996-01-22,0,0,0,0,0,0,0,0,0,-0.201502768148774,1.16241992936263,-1.42449142006104,-1.0160979592363,16.953,0.364694661111983,0.27582993300884,-8.937,0,18.04008,26.07268,27.7014,-1.68813446623242,1.50025217535871,55,0,0,70
"23",1996-01-23,0,0,0,0,0,0,0,0,0,-0.201502768148774,1.16241992936263,-1.42449142006104,-1.0160979592363,16.953,0.302694821037003,0.380040905850287,-7.097,0,18.04008,26.07268,27.7014,-1.48126661013313,1.50025217535871,55,0,0,70
