"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0"
"1",1996-01-01,0,0,0,0,0,0,0,2.38760730797653,4.11266530761203,-1.24493112467471,-0.349747411325589,30.839,0.483481108721607,1.82519690134257,-3.579,1.341,24.75528,26.54992,26.5576,0,2.22479739842218,97,0,0
"2",1996-01-02,0,0,0,0,0,0,0,2.38760730797653,4.11266530761203,-1.24493112467471,-0.349747411325589,30.839,0.648159663730315,1.94448671954709,-3.302,1.135,24.75528,26.54992,26.5576,0,2.22479739842218,97,0,0
"3",1996-01-03,0,0,0,0,0,0,0,2.38760730797653,4.11266530761203,-1.24493112467471,-0.349747411325589,30.839,0.422541931929668,2.08386082810453,-5.276,0.033,24.75528,26.54992,26.5576,0,2.22479739842218,97,0,0
"4",1996-01-04,0,0,0,0,0,0,0,2.38760730797653,4.11266530761203,-1.24493112467471,-0.349747411325589,30.839,0.483760253269385,1.81999276960287,-6.783,0,24.75528,26.54992,26.5576,0,2.22479739842218,97,0,0
"5",1996-01-05,0,0,0,0,0,0,0,2.38760730797653,4.11266530761203,-1.24493112467471,-0.349747411325589,30.839,0.393686630483371,1.94229213141225,-4.55,0.294,24.75528,26.54992,26.5576,0,2.22479739842218,97,0,0
"6",1996-01-06,0,0,0,0,0,0,0,3.35933391562068,4.10069520146245,-0.606280893635598,-0.242537809483194,30.839,0.414769696394027,2.08923693971411,-2.431,1.124,24.24696,26.475,26.5576,0,2.22479739842218,97,0,0
"7",1996-01-07,0,0,0,0,0,0,0,3.35933391562068,4.10069520146245,-0.606280893635598,-0.242537809483194,30.839,0.532390454909046,1.82835942915767,-1.695,2.388,24.24696,26.475,26.5576,0,2.22479739842218,97,0,0
"8",1996-01-08,0,0,0,0,0,0,0,3.35933391562068,4.10069520146245,-0.606280893635598,-0.242537809483194,30.839,0.57494622968773,1.95098513742077,0.281,0.911,24.24696,26.475,26.5576,0,2.22479739842218,97,0,0
"9",1996-01-09,0,0,0,0,0,0,0,3.35933391562068,4.10069520146245,-0.606280893635598,-0.242537809483194,30.839,0.349893107600481,2.09398803533471,0,0.475,24.24696,26.475,26.5576,0,2.22479739842218,97,0,0
"10",1996-01-10,0,0,0,0,0,0,0,3.35933391562068,4.10069520146245,-0.606280893635598,-0.242537809483194,30.839,0.484335326628411,1.83023256819278,-0.6,0.813,24.24696,26.475,26.5576,0,2.22479739842218,97,0,0
"11",1996-01-11,0,0,0,0,0,0,0,2.37440734280252,4.08789088714419,-0.711124386820615,-0.408712682316753,30.839,0.486960389318555,1.94949580734271,-0.526,1.098,24.1876,26.5384,27.2168,0,2.22479739842218,97,0,0
"12",1996-01-12,0,0,0,0,0,0,0,2.37440734280252,4.08789088714419,-0.711124386820615,-0.408712682316753,30.839,0.434836573854484,2.09439932281648,0.207,0.976,24.1876,26.5384,27.2168,0,2.22479739842218,97,0,0
"13",1996-01-13,0,0,0,0,0,0,0,2.37440734280252,4.08789088714419,-0.711124386820615,-0.408712682316753,30.839,0.593316717569782,1.83305475768591,1.022,0.841,24.1876,26.5384,27.2168,0,2.22479739842218,97,0,0
"14",1996-01-14,0,0,0,0,0,0,0,2.37440734280252,4.08789088714419,-0.711124386820615,-0.408712682316753,30.839,0.545527786960394,1.94948295425209,-0.533,0.295,24.1876,26.5384,27.2168,0,2.22479739842218,97,0,0
"15",1996-01-15,0,0,0,0,0,0,0,2.37440734280252,4.08789088714419,-0.711124386820615,-0.408712682316753,30.839,0.371385990542944,2.08928698466775,-2.405,0.549,24.1876,26.5384,27.2168,0,2.22479739842218,97,0,0
"16",1996-01-16,0,0,0,0,0,0,0,3.31165938911669,3.83274826207334,-1.10211804225218,-0.507985422063395,30.839,0.579285375644369,1.82658748402081,-2.745,0.525,23.27432,26.5576,26.9606,0,2.22479739842218,97,0,0
"17",1996-01-17,0,0,0,0,0,0,0,3.31165938911669,3.83274826207334,-1.10211804225218,-0.507985422063395,30.839,0.681878028634886,1.94632111202825,-2.274,0.405,23.27432,26.5576,26.9606,-1.50948680511502,2.22479739842218,97,0,0
"18",1996-01-18,0,0,0,0,0,0,0,3.31165938911669,3.83274826207334,-1.10211804225218,-0.507985422063395,30.839,0.516690078767145,2.09009189614561,-1.988,0.519,23.27432,26.5576,26.9606,-1.50948680511502,2.22479739842218,97,0,0
"19",1996-01-19,0,0,0,0,0,0,0,3.31165938911669,3.83274826207334,-1.10211804225218,-0.507985422063395,30.839,0.480089939453068,1.82855834118514,-1.578,0.793,23.27432,26.5576,26.9606,-1.50948680511502,2.22479739842218,97,0,0
"20",1996-01-20,0,0,0,0,0,0,0,3.31165938911669,3.83274826207334,-1.10211804225218,-0.507985422063395,30.839,0.62913964892129,1.94586025114145,-2.531,0.732,23.27432,26.5576,26.9606,-1.50948680511502,2.22479739842218,97,0,0
"21",1996-01-21,0,0,0,0,0,0,0,2.10737250816873,4.05270364588412,-1.14777176904508,-0.202631435281629,30.839,0.689369928502355,2.08865111220886,-2.736,0.641,23.0516,26.475,26.5576,-1.50948680511502,2.22479739842218,97,0,0
