"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0"
"1",1996-01-01,0,0,0,0,0,0,0,3.24728090361881,2.54372046654286,-0.322514218037128,-0.618254365007926,13.768,0.508443920217592,0.400775112689537,-6.336,0.143,14.82264,19.75892,21.4875,0,1.29907022353686,97,0,0
"2",1996-01-02,0,0,0,0,0,0,0,3.24728090361881,2.54372046654286,-0.322514218037128,-0.618254365007926,13.768,0.579842057801332,0.540036246196929,-5.097,0.441,14.82264,19.75892,21.4875,0,1.29907022353686,97,0,0
"3",1996-01-03,0,0,0,0,0,0,0,3.24728090361881,2.54372046654286,-0.322514218037128,-0.618254365007926,13.768,0.485063027047947,0.430284620474972,-7.166,0.273,14.82264,19.75892,21.4875,0,1.29907022353686,97,0,0
"4",1996-01-04,0,0,0,0,0,0,0,3.24728090361881,2.54372046654286,-0.322514218037128,-0.618254365007926,13.768,0.321694609452845,0.398248121679662,-13.889,0,14.82264,19.75892,21.4875,0,1.29907022353686,97,0,0
"5",1996-01-05,0,0,0,0,0,0,0,3.24728090361881,2.54372046654286,-0.322514218037128,-0.618254365007926,13.768,0.429875451141625,0.537968291779682,-9.517,0.148,14.82264,19.75892,21.4875,0,1.29907022353686,97,0,0
"6",1996-01-06,0,0,0,0,0,0,0,3.17638641047247,2.45458351397329,-0.0310304131221259,-0.53141424105163,13.768,0.491899870051093,0.430412499204879,-6.825,0.427,15.60584,20.94124,21.7552,0,1.50802102049987,97,0,0
"7",1996-01-07,0,0,0,0,0,0,0,3.17638641047247,2.45458351397329,-0.0310304131221259,-0.53141424105163,13.768,0.458276691701485,0.401095697508243,-5.431,0.233,15.60584,20.94124,21.7552,0,1.50802102049987,97,0,0
"8",1996-01-08,0,0,0,0,0,0,0,3.17638641047247,2.45458351397329,-0.0310304131221259,-0.53141424105163,13.768,0.596147299752654,0.539403917738477,-6.421,0,15.60584,20.94124,21.7552,0,1.50802102049987,97,0,0
"9",1996-01-09,0,0,0,0,0,0,0,3.17638641047247,2.45458351397329,-0.0310304131221259,-0.53141424105163,13.768,0.601896119674558,0.431403636343768,-4.233,0.707,15.60584,20.94124,21.7552,0,1.50802102049987,97,0,0
"10",1996-01-10,0,0,0,0,0,0,0,3.17638641047247,2.45458351397329,-0.0310304131221259,-0.53141424105163,13.768,0.498629397356575,0.401460537652324,-4.414,0.419,15.60584,20.94124,21.7552,0,1.50802102049987,97,0,0
"11",1996-01-11,0,0,0,0,0,0,0,3.19726797480617,2.14537435638301,0.339022994749569,0.00446932094021147,13.768,0.544117486044731,0.539858425439128,-5.467,0.542,16.87744,21.59276,24.0462,0,1.31518020901476,97,0,0
