"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","Ford  Modified","Multi-criteria","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0","score_perc"
"1",2001-01-01,0,0,0,0,0,0,0,0,0,-0.832275819815062,0.684421154910698,0.699164990555291,-0.213822843935818,40.2504082449738,0.124355578412468,0.00592245546027117,-7.38703958463818,1.02466435588847,37.9399622553686,38.9295047867838,39.1379278563742,0,-0.58790305745404,19,0,0,50
"2",2001-01-02,0,0,0,0,0,0,0,0,0,-0.832275819815062,0.684421154910698,0.699164990555291,-0.213822843935818,40.1753995613662,0.0320467862924621,0.177067951070494,-4.03579228842865,1.33684103666156,37.9399622553686,38.9295047867838,39.1379278563742,0,-0.58790305745404,19,0,0,50
"3",2001-01-03,0,0,0,0,0,0,0,0,0,-0.832275819815062,0.684421154910698,0.699164990555291,-0.213822843935818,39.910021864024,0.0361204109354175,0.184868829540622,-5.52016042193864,0.697960863872879,37.9399622553686,38.9295047867838,39.1379278563742,0,-0.58790305745404,19,0,0,50
"4",2001-01-04,0,0,0,0,0,0,0,0,0,-0.832275819815062,0.684421154910698,0.699164990555291,-0.213822843935818,39.5020119960734,0.048696010605665,0.182163994606198,-5.69824406913708,0.382489442405612,37.9399622553686,38.9295047867838,39.1379278563742,0,-0.58790305745404,19,0,0,50
"5",2001-01-05,0,0,0,0,0,0,0,0,0,-0.832275819815062,0.684421154910698,0.699164990555291,-0.213822843935818,39.0654401026922,0.0437298502263316,0.107404917809168,-6.02612224524892,0.686803673794877,37.9399622553686,38.9295047867838,39.1379278563742,0,-0.58790305745404,19,0,0,50
"6",2001-01-06,0,0,0,0,0,0,0,0,0,-0.365199145745747,-0.66208201595345,0.533302003588614,0.946750851263146,38.7787521091174,0.041086571314751,0.0318129566119085,-4.90456813306811,0.600017208691492,37.6797569284813,38.5403745201286,39.1196749062648,0,0.720069988483128,19,0,0,50
"7",2001-01-07,0,0,0,0,0,0,0,0,0,-0.365199145745747,-0.66208201595345,0.533302003588614,0.946750851263146,38.5971474552112,0.0783785452231554,0.0441730856156591,-5.8443504751795,0.384136812752699,37.6797569284813,38.5403745201286,39.1196749062648,0,0.720069988483128,19,0,0,50
"8",2001-01-08,0,0,0,0,0,0,0,0,0,-0.365199145745747,-0.66208201595345,0.533302003588614,0.946750851263146,38.4551826216455,0.159839595316414,0.0218470961985531,-6.51481879006431,3.29099667065902,37.6797569284813,38.5403745201286,39.1196749062648,0,0.720069988483128,61,0,0,50
"9",2001-01-09,0,0,0,0,0,0,0,0,0,-0.365199145745747,-0.66208201595345,0.533302003588614,0.946750851263146,38.3555269565916,0.194488290313238,0.00278980211773083,-9.41052211847447,1.95348170976456,37.6797569284813,38.5403745201286,39.1196749062648,0,0.720069988483128,61,0,0,50
"10",2001-01-10,0,0,0,0,0,0,0,0,0,-0.365199145745747,-0.66208201595345,0.533302003588614,0.946750851263146,38.2931976767967,0.0343925532919167,0.0113777076586552,-6.12075704638873,7.15175883999935,37.6797569284813,38.5403745201286,39.1196749062648,0,0.720069988483128,61,0,0,50
