"date","station","land_use","method","lengths"
"2002-01-21","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2002-02-15","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2003-05-01","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2003-05-31","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2003-06-10","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2003-08-04","AT-Neu","Grasslands","Mo and Lettenmeier",10
"2003-11-22","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2003-12-02","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2004-03-31","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2004-08-08","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2005-05-26","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2005-08-29","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2006-07-15","AT-Neu","Grasslands","Mo and Lettenmeier",10
"2006-09-13","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2006-09-23","AT-Neu","Grasslands","Mo and Lettenmeier",10
"2006-10-18","AT-Neu","Grasslands","Mo and Lettenmeier",15
"2006-11-17","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2006-12-02","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2007-02-15","AT-Neu","Grasslands","Mo and Lettenmeier",10
"2007-04-11","AT-Neu","Grasslands","Mo and Lettenmeier",20
"2007-05-11","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2007-07-15","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2008-01-16","AT-Neu","Grasslands","Mo and Lettenmeier",20
"2008-02-20","AT-Neu","Grasslands","Mo and Lettenmeier",10
"2008-05-25","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2008-08-28","AT-Neu","Grasslands","Mo and Lettenmeier",10
"2008-11-01","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2009-04-06","AT-Neu","Grasslands","Mo and Lettenmeier",10
"2009-05-16","AT-Neu","Grasslands","Mo and Lettenmeier",10
"2009-08-14","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2010-03-22","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2010-06-05","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2010-06-30","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2010-07-10","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2010-10-03","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2011-02-15","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2011-03-12","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2011-04-01","AT-Neu","Grasslands","Mo and Lettenmeier",10
"2011-04-21","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2011-08-19","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2011-09-13","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2011-11-02","AT-Neu","Grasslands","Mo and Lettenmeier",10
"2011-12-12","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2012-03-26","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2012-04-25","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2012-08-18","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2012-09-22","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2012-10-17","AT-Neu","Grasslands","Mo and Lettenmeier",5
"2003-07-10","AT-Neu","Grasslands","Ford and Labosier",35
"2004-07-29","AT-Neu","Grasslands","Ford and Labosier",35
"2005-05-31","AT-Neu","Grasslands","Ford and Labosier",40
"2006-07-05","AT-Neu","Grasslands","Ford and Labosier",35
"2006-09-03","AT-Neu","Grasslands","Ford and Labosier",35
"2006-12-22","AT-Neu","Grasslands","Ford and Labosier",40
"2007-04-16","AT-Neu","Grasslands","Ford and Labosier",40
"2007-10-08","AT-Neu","Grasslands","Ford and Labosier",40
"2008-03-06","AT-Neu","Grasslands","Ford and Labosier",40
"2008-07-24","AT-Neu","Grasslands","Ford and Labosier",25
"2008-10-07","AT-Neu","Grasslands","Ford and Labosier",25
"2009-05-16","AT-Neu","Grasslands","Ford and Labosier",40
"2011-03-22","AT-Neu","Grasslands","Ford and Labosier",40
"2011-08-19","AT-Neu","Grasslands","Ford and Labosier",35
"2011-10-28","AT-Neu","Grasslands","Ford and Labosier",40
"2012-02-15","AT-Neu","Grasslands","Ford and Labosier",35
