"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi"
"1",2001-01-01,0,0,0,0,0,0,-1.32669867975158,-0.943767809455701,0.693628748402129,0.135505161211832,1.599,0,0,-11.978,0.541,1.76496,2.924,3.6485,0,-1.09140743313833,5
"2",2001-01-02,0,0,0,0,0,0,-1.32669867975158,-0.943767809455701,0.693628748402129,0.135505161211832,1.661,0,0,-4.707,2.092,1.76496,2.924,3.6485,0,-1.09140743313833,5
"3",2001-01-03,0,0,0,0,0,0,-1.32669867975158,-0.943767809455701,0.693628748402129,0.135505161211832,1.75,0,0,-6.181,0.55,1.76496,2.924,3.6485,0,-1.09140743313833,5
"4",2001-01-04,0,0,0,0,0,0,-1.32669867975158,-0.943767809455701,0.693628748402129,0.135505161211832,1.806,0,0,-5.35,0.844,1.76496,2.924,3.6485,0,-1.09140743313833,5
"5",2001-01-05,0,0,0,0,0,0,-1.32669867975158,-0.943767809455701,0.693628748402129,0.135505161211832,1.86,0.00447523797165687,0,-6.104,0.5,1.76496,2.924,3.6485,0,-1.09140743313833,5
"6",2001-01-06,0,0,0,0,0,0,-1.48480663401324,-1.17219140854155,0.460169313048137,-0.0708384395101405,1.901,0,0,-4.837,0.751,1.86692,3.2638,3.7868,0,-1.18443434138874,5
"7",2001-01-07,0,0,0,0,0,0,-1.48480663401324,-1.17219140854155,0.460169313048137,-0.0708384395101405,1.945,0,0,-4.841,0.493,1.86692,3.2638,3.7868,0,-1.18443434138874,5
"8",2001-01-08,0,0,0,0,0,0,-1.48480663401324,-1.17219140854155,0.460169313048137,-0.0708384395101405,1.979,0,0,-7.367,2.308,1.86692,3.2638,3.7868,0,-1.18443434138874,5
"9",2001-01-09,0,0,0,0,0,0,-1.48480663401324,-1.17219140854155,0.460169313048137,-0.0708384395101405,1.981,0,0,-11.788,0.621,1.86692,3.2638,3.7868,0,-1.18443434138874,5
"10",2001-01-10,0,0,0,0,0,0,-1.48480663401324,-1.17219140854155,0.460169313048137,-0.0708384395101405,1.953,0,0,-10.855,1.823,1.86692,3.2638,3.7868,0,-1.18443434138874,5
"11",2001-01-11,0,0,0,0,0,0,-1.00034665331441,-1.17147147916139,0.501208024633015,-0.175098628031645,1.943,0,0,-8.341,1.753,1.48288,2.58244,3.8553,0,-1.11396452142329,5
"12",2001-01-12,0,0,0,0,0,0,-1.00034665331441,-1.17147147916139,0.501208024633015,-0.175098628031645,1.953,0.0353102835306036,0.00250074303245349,-13.863,0.007,1.48288,2.58244,3.8553,0,-1.11396452142329,5
"13",2001-01-13,0,0,0,0,0,0,-1.00034665331441,-1.17147147916139,0.501208024633015,-0.175098628031645,1.921,0,0,-8.787,0.65,1.48288,2.58244,3.8553,0,-1.11396452142329,5
"14",2001-01-14,0,0,0,0,0,0,-1.00034665331441,-1.17147147916139,0.501208024633015,-0.175098628031645,1.922,0.00118428601931959,0,-6.757,0.409,1.48288,2.58244,3.8553,0,-1.11396452142329,5
"15",2001-01-15,0,0,0,0,0,0,-1.00034665331441,-1.17147147916139,0.501208024633015,-0.175098628031645,1.984,0.161932720953541,0,-0.254,0.595,1.48288,2.58244,3.8553,0,-1.11396452142329,61
"16",2001-01-16,0,0,0,0,0,0,0.494127105249498,-0.877589564112624,1.22580830471268,-0.687405948765691,2.048,0.22682008335012,0.00556048592336603,1.572,0.017,1.41756,2.42472,3.07,0,-0.937070608629357,61
"17",2001-01-17,0,0,0,0,0,0,0.494127105249498,-0.877589564112624,1.22580830471268,-0.687405948765691,2.067,0.366085322227263,0.0048868351825989,-1.397,0,1.41756,2.42472,3.07,-0.255003565401214,-0.937070608629357,61
"18",2001-01-18,0,0,0,0,0,0,0.494127105249498,-0.877589564112624,1.22580830471268,-0.687405948765691,2.049,0.00478021821257247,0,-5.81,0.052,1.41756,2.42472,3.07,-0.255003565401214,-0.937070608629357,61
"19",2001-01-19,0,0,0,0,0,0,0.494127105249498,-0.877589564112624,1.22580830471268,-0.687405948765691,2.026,0.336926962814959,0,-4.35,1.293,1.41756,2.42472,3.07,-0.255003565401214,-0.937070608629357,61
"20",2001-01-20,0,0,0,0,0,0,0.494127105249498,-0.877589564112624,1.22580830471268,-0.687405948765691,1.998,0.276823369204965,0,-8.01,0,1.41756,2.42472,3.07,-0.255003565401214,-0.937070608629357,61
"21",2001-01-21,0,0,0,0,0,0,-0.504595521597489,-1.08316711795836,0.758820751227624,0.113524488266114,1.931,0.0675171110291205,0.00276864974248223,-11.305,0,1.42384,1.91748,2.2787,-0.255003565401214,-0.22238309854188,61
"22",2001-01-22,0,0,0,0,0,0,-0.504595521597489,-1.08316711795836,0.758820751227624,0.113524488266114,1.874,0.109570278975696,0,-6.371,0.364,1.42384,1.91748,2.2787,-0.255003565401214,-0.22238309854188,26
