"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","Ford  Modified","Multi-criteria","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0","score_perc"
"1",2004-01-01,0,0,0,0,0,0,0,0,0,-0.730309658405526,-1.08855121395475,-1.20781170439593,-0.377214552146477,38.0927324734274,0.108639776528024,0.0827122785490584,-2.86005808463469,3.12777013635696,37.8122089276984,39.3600066989669,39.4825482441666,0,-0.887351237426617,6,0,0,50
"2",2004-01-02,0,0,0,0,0,0,0,0,0,-0.730309658405526,-1.08855121395475,-1.20781170439593,-0.377214552146477,37.7522542535392,0.355343356093158,0.331920881570612,-2.60837122701341,1.89628012573864,37.8122089276984,39.3600066989669,39.4825482441666,0,-0.887351237426617,6,0,0,50
"3",2004-01-03,0,0,0,0,0,0,0,0,0,-0.730309658405526,-1.08855121395475,-1.20781170439593,-0.377214552146477,37.4384824135497,0.306469768730817,0.140464655439013,-6.45580243123793,0.000915508716474965,37.8122089276984,39.3600066989669,39.4825482441666,0,-0.887351237426617,6,0,0,50
"4",2004-01-04,0,0,0,0,0,0,0,0,0,-0.730309658405526,-1.08855121395475,-1.20781170439593,-0.377214552146477,37.2712694266859,0.1255119756792,0.0948386321880732,-4.22914780152281,1.32317166922531,37.8122089276984,39.3600066989669,39.4825482441666,0,-0.887351237426617,6,0,0,50
"5",2004-01-05,0,0,0,0,0,0,0,0,0,-0.730309658405526,-1.08855121395475,-1.20781170439593,-0.377214552146477,37.2198140847918,0.0385567745137083,0.030628253254197,-0.145159098779127,2.27922434314417,37.8122089276984,39.3600066989669,39.4825482441666,0,-0.887351237426617,6,0,0,50
"6",2004-01-06,0,0,0,0,0,0,0,0,0,-2.01704942937213,-0.719822168880785,0.0515384741655405,0.525837167673596,38.9828851392345,0.00538831599656122,0.00405447164764317,2.15819786312812,2.51398693544025,37.6311605762431,39.4091461327352,40.1906884823474,0,-0.214984173106272,6,0,0,50
"7",2004-01-07,0,0,0,0,0,0,0,0,0,-2.01704942937213,-0.719822168880785,0.0515384741655405,0.525837167673596,39.3438824985225,0.0203326459477783,0.0367614803715911,3.74147356497935,1.07598431577707,37.6311605762431,39.4091461327352,40.1906884823474,0,-0.214984173106272,6,0,0,50
"8",2004-01-08,0,0,1,0,0,0,0,0,0,-2.01704942937213,-0.719822168880785,0.0515384741655405,0.525837167673596,39.7564251959302,0.15220085690466,0.475149704927409,1.7247534530378,6.70845551345003,37.6311605762431,39.4091461327352,40.1906884823474,0,-0.214984173106272,6,0,0,50
"9",2004-01-09,0,0,1,0,0,0,0,0,0,-2.01704942937213,-0.719822168880785,0.0515384741655405,0.525837167673596,41.8467000270091,0.134023658019902,0.507553446981585,5.10443530502186,8.56929237316514,37.6311605762431,39.4091461327352,40.1906884823474,0,-0.214984173106272,6,0,0,50
"10",2004-01-10,0,0,1,0,0,0,0,0,0,-2.01704942937213,-0.719822168880785,0.0515384741655405,0.525837167673596,41.0235495510406,0.122397031188826,0.240765098122137,4.06889517950135,0.507061041967636,37.6311605762431,39.4091461327352,40.1906884823474,0,-0.214984173106272,6,0,0,50
"11",2004-01-11,0,0,1,0,0,0,0,0,0,-0.824556669431795,1.47892476278513,0.948482865659441,2.72987237619361,42.0932446865964,0.029322046953963,0.338975252596397,8.37181978227508,20.7248939626817,37.9118213331415,38.6182018769537,39.09304353338,0,-0.226086952403085,6,0,0,50
"12",2004-01-12,0,0,1,0,0,0,0,0,0,-0.824556669431795,1.47892476278513,0.948482865659441,2.72987237619361,42.4158811547916,0.073077614937093,0.710628597232713,5.4043250044336,16.2547264740535,37.9118213331415,38.6182018769537,39.09304353338,0,-0.226086952403085,6,0,0,50
"13",2004-01-13,0,0,1,0,0,0,0,0,0,-0.824556669431795,1.47892476278513,0.948482865659441,2.72987237619361,42.650478815452,0.184519320583854,1.07454279058403,6.71430466715531,15.5257199618204,37.9118213331415,38.6182018769537,39.09304353338,0,-0.226086952403085,6,0,0,50
"14",2004-01-14,0,0,1,0,0,0,0,0,0,-0.824556669431795,1.47892476278513,0.948482865659441,2.72987237619361,42.1698989716132,0.352679356402024,1.05286968089682,4.26906598297063,8.84472970986461,37.9118213331415,38.6182018769537,39.09304353338,0,-0.226086952403085,6,0,0,50
"15",2004-01-15,0,0,1,0,0,0,0,0,0,-0.824556669431795,1.47892476278513,0.948482865659441,2.72987237619361,41.8749813408529,0.295169091713017,0.734334982789586,2.38370154695445,3.2325304909136,37.9118213331415,38.6182018769537,39.09304353338,0,-0.226086952403085,59,0,0,23
"16",2004-01-16,0,0,1,0,0,0,0,0,0,0.245229669107252,0.280382736864001,-0.187324122557743,0.321838340611871,42.4952578256279,0.302556422502026,1.11517663536288,4.54931097192032,9.55241794769976,39.1350848286882,39.9140958847823,39.9477938485733,0,0.124263601731271,59,0,0,23
"17",2004-01-17,0,0,1,0,0,0,0,0,0,0.245229669107252,0.280382736864001,-0.187324122557743,0.321838340611871,41.0711800533537,0.290978679985069,0.453821132361974,2.58340322300972,0.52118603359325,39.1350848286882,39.9140958847823,39.9477938485733,1.63592909204953,0.124263601731271,59,0,0,23
"18",2004-01-18,0,0,1,0,0,0,0,0,0,0.245229669107252,0.280382736864001,-0.187324122557743,0.321838340611871,40.1903644959358,0.439141044844481,0.610865048105677,0.943157860818535,0.111692063409949,39.1350848286882,39.9140958847823,39.9477938485733,1.63592909204953,0.124263601731271,59,0,0,23
"19",2004-01-19,0,0,1,0,0,0,0,0,0,0.245229669107252,0.280382736864001,-0.187324122557743,0.321838340611871,40.4709727268514,0.0772719359309361,0.0813880279582249,-0.225028041015894,12.6569080052664,39.1350848286882,39.9140958847823,39.9477938485733,1.63592909204953,0.124263601731271,59,0,0,23
"20",2004-01-20,0,0,1,0,0,0,0,0,0,0.245229669107252,0.280382736864001,-0.187324122557743,0.321838340611871,42.1204235466787,0.195282113152372,0.320319615072286,4.41121158941844,2.1684477884507,39.1350848286882,39.9140958847823,39.9477938485733,1.63592909204953,0.124263601731271,59,0,0,23
"21",2004-01-21,0,0,1,0,0,0,0,0,0,-0.197560691617686,-0.696957107300108,-0.657867717270419,-0.360703078543081,40.5286603073572,0.402322315342603,0.390142890483526,-0.794841926268901,0.00300810006841935,39.0128455640191,39.6521746626657,39.6550256240326,1.63592909204953,0.455148505743668,59,0,0,23
"22",2004-01-22,0,0,1,0,0,0,0,0,0,-0.197560691617686,-0.696957107300108,-0.657867717270419,-0.360703078543081,39.7246565283506,0.407906922748111,0.329848987175563,-2.13956633809141,0.366857421387467,39.0128455640191,39.6521746626657,39.6550256240326,1.63592909204953,0.455148505743668,59,0,0,50
