"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","Ford  Modified","Multi-criteria","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0","score_perc"
"1",1997-01-01,0,0,0,0,0,0,0,0,0,-0.0460629300551334,-0.184611122085182,1.33182455195902,0.967250712305681,21.219,0.617343246338028,0.199429048017926,11.556,1.088,20.258,21.35664,21.6688,0,-0.409013709846377,65,0,0,43
"2",1997-01-02,0,0,0,0,0,0,0,0,0,-0.0460629300551334,-0.184611122085182,1.33182455195902,0.967250712305681,21.219,0.851412342084847,0.342527286719139,11.914,0.991,20.258,21.35664,21.6688,0,-0.409013709846377,65,0,0,43
"3",1997-01-03,0,0,0,0,0,0,0,0,0,-0.0460629300551334,-0.184611122085182,1.33182455195902,0.967250712305681,21.219,0.968267907375255,0.467368535599863,12.621,7.011,20.258,21.35664,21.6688,0,-0.409013709846377,65,0,0,43
"4",1997-01-04,0,0,0,0,0,0,0,0,0,-0.0460629300551334,-0.184611122085182,1.33182455195902,0.967250712305681,21.219,0.830934642207535,0.647255532233379,9.64,13.345,20.258,21.35664,21.6688,0,-0.409013709846377,65,0,0,43
"5",1997-01-05,0,0,0,0,0,0,0,0,0,-0.0460629300551334,-0.184611122085182,1.33182455195902,0.967250712305681,21.219,1.01669474981545,0.547844618877226,12.245,7.309,20.258,21.35664,21.6688,0,-0.409013709846377,65,0,0,43
"6",1997-01-06,0,0,0,0,0,0,0,0,0,-0.104778325552201,-0.326059718943581,0.192679088690382,1.02337879035162,21.219,1.04475841863307,0.719981029729388,9.64,1.688,20.28752,21.16872,21.5876,0,-0.464040834354543,65,0,0,43
"7",1997-01-07,0,0,0,0,0,0,0,0,0,-0.104778325552201,-0.326059718943581,0.192679088690382,1.02337879035162,21.219,0.949110718427439,0.644597158506924,6.732,6.399,20.28752,21.16872,21.5876,0,-0.464040834354543,65,0,0,43
"8",1997-01-08,0,0,0,0,0,0,0,0,0,-0.104778325552201,-0.326059718943581,0.192679088690382,1.02337879035162,21.219,1.02349763314922,0.650799570855783,7.005,0.275,20.28752,21.16872,21.5876,0,-0.464040834354543,50,0,0,10
"9",1997-01-09,0,0,0,0,0,0,0,0,0,-0.104778325552201,-0.326059718943581,0.192679088690382,1.02337879035162,21.219,0.552578691151339,0.338862708176442,10.312,12.81,20.28752,21.16872,21.5876,0,-0.464040834354543,50,0,0,10
"10",1997-01-10,0,0,0,0,0,0,0,0,0,-0.104778325552201,-0.326059718943581,0.192679088690382,1.02337879035162,21.219,0.230650744156275,0.0982453022838107,9.112,11.515,20.28752,21.16872,21.5876,0,-0.464040834354543,50,0,0,10
"11",1997-01-11,0,0,0,0,0,0,0,0,0,-0.162217852430664,-0.469452216695448,0.0361786490430753,-0.240776705971489,21.219,0.610487292247007,0.678435446476215,8.483,2.447,20.3684,20.6804,21.3156,0,-0.669543362128585,50,0,0,10
"12",1997-01-12,0,0,0,0,0,0,0,0,0,-0.162217852430664,-0.469452216695448,0.0361786490430753,-0.240776705971489,21.219,0.455050321951289,0.0982453022838107,9.112,4.525,20.3684,20.6804,21.3156,0,-0.669543362128585,50,0,0,10
"13",1997-01-13,0,0,0,0,0,0,0,0,0,-0.162217852430664,-0.469452216695448,0.0361786490430753,-0.240776705971489,21.219,0.864520640361236,0.679975587139087,8.483,0,20.3684,20.6804,21.3156,0,-0.669543362128585,50,0,0,10
"14",1997-01-14,0,0,0,0,0,0,0,0,0,-0.162217852430664,-0.469452216695448,0.0361786490430753,-0.240776705971489,21.219,1.02455309902454,0.447730173276853,7.299,0,20.3684,20.6804,21.3156,0,-0.669543362128585,50,0,0,10
"15",1997-01-15,0,0,0,0,0,0,0,0,0,-0.162217852430664,-0.469452216695448,0.0361786490430753,-0.240776705971489,21.219,0.833478489281461,0.357197787514645,6.457,0,20.3684,20.6804,21.3156,0,-0.669543362128585,65,0,0,43
