"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","Ford  Modified","Multi-criteria","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0","score_perc"
"1",2003-01-01,0,0,0,0,0,0,0,0,0,1.15811054887141,0.321738196562373,1.17447803911813,-0.397622442386794,49.253,0.271170655728209,0.0936753802382561,0.772,0,44.91908,46.3244,46.4836,0,0.15156056299463,85,0,0,77
"2",2003-01-02,0,0,0,0,0,0,0,0,0,1.15811054887141,0.321738196562373,1.17447803911813,-0.397622442386794,49.253,0.117285511742307,0.0920556452393617,1.915,1.4,44.91908,46.3244,46.4836,0,0.15156056299463,85,0,0,77
"3",2003-01-03,0,0,0,0,0,0,0,0,0,1.15811054887141,0.321738196562373,1.17447803911813,-0.397622442386794,49.253,0.722899496839814,0.181041540627068,2.572,0,44.91908,46.3244,46.4836,0,0.15156056299463,85,0,0,77
"4",2003-01-04,0,0,0,0,0,0,0,0,0,1.15811054887141,0.321738196562373,1.17447803911813,-0.397622442386794,49.253,0.428434616356552,0.219191292023655,0.319,0,44.91908,46.3244,46.4836,0,0.15156056299463,85,0,0,77
"5",2003-01-05,0,0,0,0,0,0,0,0,0,1.15811054887141,0.321738196562373,1.17447803911813,-0.397622442386794,49.253,0.217504576637674,0.252070599942722,-3.843,0,44.91908,46.3244,46.4836,0,0.15156056299463,85,0,0,77
"6",2003-01-06,0,0,0,0,0,0,0,0,0,0.206466005885191,0.823260660098962,-1.47469433863737,-0.199457171670767,49.253,0.0573495080925235,0.178180149490341,-4.194,1.386,45.74552,47.81716,48.0418,0,1.62778289282856,85,0,0,77
"7",2003-01-07,0,0,0,0,0,0,0,0,0,0.206466005885191,0.823260660098962,-1.47469433863737,-0.199457171670767,49.253,0.34863303944581,0.156742842297977,-7.524,1.086,45.74552,47.81716,48.0418,0,1.62778289282856,85,0,0,77
"8",2003-01-08,0,0,0,0,0,0,0,0,0,0.206466005885191,0.823260660098962,-1.47469433863737,-0.199457171670767,49.253,0.076524748841779,0.117502063946556,-9.42,0,45.74552,47.81716,48.0418,0,1.62778289282856,59,0,0,59
"9",2003-01-09,0,0,0,0,0,0,0,0,0,0.206466005885191,0.823260660098962,-1.47469433863737,-0.199457171670767,49.253,0.195213324437721,0.108872601349288,-5.355,0.1,45.74552,47.81716,48.0418,0,1.62778289282856,59,0,0,59
"10",2003-01-10,0,0,0,0,0,0,0,0,0,0.206466005885191,0.823260660098962,-1.47469433863737,-0.199457171670767,49.253,0.164978682915931,0.0843230339992492,-6.128,0,45.74552,47.81716,48.0418,0,1.62778289282856,59,0,0,59
"11",2003-01-11,0,0,0,0,1,0,0,0,0,0.372010152318627,0.121186686280081,-0.816891556657285,-0.451500315614025,49.253,0.14552051413966,0.0766333637401743,-7.732,0,46.00288,47.49472,48.7168,0,0.42810133917259,59,0,0,59
"12",2003-01-12,0,0,0,0,1,0,0,0,0,0.372010152318627,0.121186686280081,-0.816891556657285,-0.451500315614025,49.253,0.385684701962949,0.251015509517123,-7.691,0,46.00288,47.49472,48.7168,0,0.42810133917259,59,0,0,59
"13",2003-01-13,0,0,0,0,1,0,0,0,0,0.372010152318627,0.121186686280081,-0.816891556657285,-0.451500315614025,49.253,0.45309014239719,0.178946232568956,-5.224,0,46.00288,47.49472,48.7168,0,0.42810133917259,59,0,0,59
"14",2003-01-14,0,0,0,0,1,0,0,0,0,0.372010152318627,0.121186686280081,-0.816891556657285,-0.451500315614025,49.253,0.315304927785886,0.0523482649773663,0.622,0,46.00288,47.49472,48.7168,0,0.42810133917259,59,0,0,59
"15",2003-01-15,0,0,0,0,1,0,0,0,0,0.372010152318627,0.121186686280081,-0.816891556657285,-0.451500315614025,49.253,0.335818430724074,0.00847266945141316,0.134,0,46.00288,47.49472,48.7168,0,0.42810133917259,41,0,0,26
"16",2003-01-16,0,0,0,0,1,0,0,0,0,-0.38513508334536,-0.53072720621532,-0.274563590120135,-0.77225625798743,49.253,0.215357592342628,0.0847912119621208,-0.96,0,45.51104,46.69584,48.6952,0,0.1090297401698,41,0,0,26
"17",2003-01-17,0,0,0,0,1,0,0,0,0,-0.38513508334536,-0.53072720621532,-0.274563590120135,-0.77225625798743,49.253,0.132816595852931,0.0471970627696432,-3.823,0,45.51104,46.69584,48.6952,0.00196538522862819,0.1090297401698,41,0,0,26
"18",2003-01-18,0,0,0,0,1,0,0,0,0,-0.38513508334536,-0.53072720621532,-0.274563590120135,-0.77225625798743,49.253,0.160924529615603,0.0647899128795163,-2.835,0,45.51104,46.69584,48.6952,0.00196538522862819,0.1090297401698,41,0,0,26
"19",2003-01-19,0,0,0,0,1,0,0,0,0,-0.38513508334536,-0.53072720621532,-0.274563590120135,-0.77225625798743,49.253,0.201649836947363,0.0181288180020316,-4.889,0,45.51104,46.69584,48.6952,0.00196538522862819,0.1090297401698,41,0,0,26
"20",2003-01-20,0,0,0,0,1,0,0,0,0,-0.38513508334536,-0.53072720621532,-0.274563590120135,-0.77225625798743,49.253,0.241023858505614,0.0861947634610113,-1.962,0,45.51104,46.69584,48.6952,0.00196538522862819,0.1090297401698,41,0,0,26
"21",2003-01-21,0,0,0,0,1,0,0,0,0,-0.289961217195092,-0.308129371094601,0.958936484541538,1.42531091621951,49.253,0,0,-1.431,15,44.48612,46.4862,48.8598,0.00196538522862819,-0.223709471116928,41,0,0,26
"22",2003-01-22,0,0,0,0,1,0,0,0,0,-0.289961217195092,-0.308129371094601,0.958936484541538,1.42531091621951,49.253,0,0.073868009405836,-1.883,6.3,44.48612,46.4862,48.8598,0.00196538522862819,-0.223709471116928,85,0,0,77
"23",2003-01-23,0,0,0,0,1,0,0,0,0,-0.289961217195092,-0.308129371094601,0.958936484541538,1.42531091621951,49.253,0.0326380840526573,0.117912527819108,-1.885,0,44.48612,46.4862,48.8598,-0.050094949564655,-0.223709471116928,85,0,0,77
"24",2003-01-24,0,0,0,0,1,0,0,0,0,-0.289961217195092,-0.308129371094601,0.958936484541538,1.42531091621951,49.253,0.586328023454442,0.193878209817249,-1.166,0,44.48612,46.4862,48.8598,-0.050094949564655,-0.223709471116928,85,0,0,77
"25",2003-01-25,0,0,0,0,1,0,0,0,0,-0.289961217195092,-0.308129371094601,0.958936484541538,1.42531091621951,49.253,0.322613151349961,0.188721456076014,-1.605,0,44.48612,46.4862,48.8598,-0.050094949564655,-0.223709471116928,85,0,0,77
"26",2003-01-26,0,0,0,0,1,0,0,0,0,1.27148732727455,0.0934702324604934,0.659386084138639,-0.727555751027559,49.253,0.494414107104947,0.202497278020981,-2.225,0,43.9276,46.26632,49.002,-0.050094949564655,-0.624159220752932,85,0,0,77
"27",2003-01-27,0,0,0,0,1,0,0,0,0,1.27148732727455,0.0934702324604934,0.659386084138639,-0.727555751027559,49.253,0.384242184981436,0.172071098211948,1.652,0,43.9276,46.26632,49.002,-0.050094949564655,-0.624159220752932,85,0,0,77
"28",2003-01-28,0,0,0,0,1,0,0,0,0,1.27148732727455,0.0934702324604934,0.659386084138639,-0.727555751027559,49.253,0.628368163637287,0.285869792976914,2.898,0,43.9276,46.26632,49.002,-0.050094949564655,-0.624159220752932,85,0,0,77
"29",2003-01-29,0,0,0,0,1,0,0,0,0,1.27148732727455,0.0934702324604934,0.659386084138639,-0.727555751027559,49.253,0.388779306210812,0.136062148479784,-5.591,0,43.9276,46.26632,49.002,-0.050094949564655,-0.624159220752932,41,0,0,59
"30",2003-01-30,0,0,0,0,1,0,0,0,0,1.27148732727455,0.0934702324604934,0.659386084138639,-0.727555751027559,49.253,0.255585449809282,0.0409666359790785,-6.506,0,43.9276,46.26632,49.002,-0.050094949564655,-0.624159220752932,41,0,0,59
"31",2003-01-31,0,0,0,0,1,0,0,0,0,-0.165502411477661,0.0689175433434907,-1.17205816772939,-0.458514184141578,49.253,0.371576354769571,0.171705016349782,-7.738,0,43.4994,45.8556,48.5756,-0.050094949564655,0.684131583713535,41,0,0,59
"32",2003-02-01,0,0,0,0,1,0,0,0,0,-0.165502411477661,0.0689175433434907,-1.17205816772939,-0.458514184141578,49.253,0.511185475578681,0.277479859722335,-9.3,0,43.4994,45.8556,48.5756,-0.050094949564655,0.684131583713535,41,0,0,59
"33",2003-02-02,0,0,0,0,1,0,0,0,0,-0.165502411477661,0.0689175433434907,-1.17205816772939,-0.458514184141578,49.253,0.337376066635185,0.0803034607227146,-8.555,0,43.4994,45.8556,48.5756,0.123221662870446,0.684131583713535,41,0,0,59
"34",2003-02-03,0,0,0,0,1,0,0,0,0,-0.165502411477661,0.0689175433434907,-1.17205816772939,-0.458514184141578,49.253,0.145381619206134,0.139417616425131,-6.07,0.3,43.4994,45.8556,48.5756,0.123221662870446,0.684131583713535,41,0,0,59
"35",2003-02-04,0,0,0,0,1,0,0,0,0,-0.165502411477661,0.0689175433434907,-1.17205816772939,-0.458514184141578,49.253,0.154055050535687,0.226358087922687,-5.343,0.5,43.4994,45.8556,48.5756,0.123221662870446,0.684131583713535,41,0,0,59
"36",2003-02-05,0,0,0,0,1,0,0,0,1,0.0992185788180304,-0.276279920113905,-0.88949187090035,-0.544551093923375,49.253,0.456950199121993,0.307312605899112,-6.515,0,43.12364,45.6062,48.1998,0.123221662870446,-0.643908257257769,68,0,0,59
"37",2003-02-06,0,0,0,0,1,0,0,0,1,0.0992185788180304,-0.276279920113905,-0.88949187090035,-0.544551093923375,49.253,0.408368287436254,0.200692934155465,-6.756,0,43.12364,45.6062,48.1998,0.123221662870446,-0.643908257257769,68,0,0,59
"38",2003-02-07,0,0,0,0,1,0,0,0,1,0.0992185788180304,-0.276279920113905,-0.88949187090035,-0.544551093923375,49.253,0.474865357678625,0.145121215224833,-7.894,0,43.12364,45.6062,48.1998,0.123221662870446,-0.643908257257769,68,0,0,59
"39",2003-02-08,0,0,0,0,1,0,0,0,1,0.0992185788180304,-0.276279920113905,-0.88949187090035,-0.544551093923375,49.253,0.261108821269403,0.0615320441847508,-2.62,0,43.12364,45.6062,48.1998,0.123221662870446,-0.643908257257769,68,0,0,59
"40",2003-02-09,0,0,0,0,1,0,0,0,1,0.0992185788180304,-0.276279920113905,-0.88949187090035,-0.544551093923375,49.253,0.134731678799891,0,-6.605,0,43.12364,45.6062,48.1998,0.123221662870446,-0.643908257257769,68,0,0,59
"41",2003-02-10,0,0,0,0,1,0,0,0,1,-1.31839010266829,-1.31097157775123,-0.99632530425924,-0.59730027559195,49.253,0.173925487260804,0,-6.056,0,43.2192,45.57676,48.7446,-1.54400960124913,-1.16845649899223,68,0,0,59
"42",2003-02-11,0,0,0,0,1,0,0,0,1,-1.31839010266829,-1.31097157775123,-0.99632530425924,-0.59730027559195,49.253,0.297883492579508,0,-4.859,0,43.2192,45.57676,48.7446,-1.54400960124913,-1.16845649899223,68,0,0,59
"43",2003-02-12,0,0,0,0,1,0,0,0,1,-1.31839010266829,-1.31097157775123,-0.99632530425924,-0.59730027559195,49.253,0.0573128569213157,0.0324057376480956,-9.196,0,43.2192,45.57676,48.7446,-1.54400960124913,-1.16845649899223,24,0,0,59
"44",2003-02-13,0,0,0,0,1,0,0,0,1,-1.31839010266829,-1.31097157775123,-0.99632530425924,-0.59730027559195,49.253,0.103960049112452,0,-8.554,0,43.2192,45.57676,48.7446,-1.54400960124913,-1.16845649899223,24,0,0,59
"45",2003-02-14,0,0,0,0,1,0,0,0,1,-1.31839010266829,-1.31097157775123,-0.99632530425924,-0.59730027559195,49.253,0.127696846027786,0,-8.13,0,43.2192,45.57676,48.7446,-1.54400960124913,-1.16845649899223,24,0,0,59
"46",2003-02-15,0,0,0,0,1,0,0,0,1,0.247558648672743,-0.87982390544426,-1.49177229929717,-0.631931460934777,49.253,0.212759408376243,0,-6.734,0,43.79028,45.62284,49.0174,-1.54400960124913,-1.79916152931368,24,0,0,59
"47",2003-02-16,0,0,0,0,1,0,0,0,1,0.247558648672743,-0.87982390544426,-1.49177229929717,-0.631931460934777,49.253,0.0681001374165469,0,-10.149,0.1,43.79028,45.62284,49.0174,-1.54400960124913,-1.79916152931368,24,0,0,59
"48",2003-02-17,0,0,0,0,1,0,0,0,1,0.247558648672743,-0.87982390544426,-1.49177229929717,-0.631931460934777,49.253,0.285149522946928,0.095710967912113,-8.572,0,43.79028,45.62284,49.0174,-1.48518136789093,-1.79916152931368,24,0,0,59
"49",2003-02-18,0,0,0,0,1,0,0,0,1,0.247558648672743,-0.87982390544426,-1.49177229929717,-0.631931460934777,49.253,0.462096770300031,0.101906302904179,-6.167,0,43.79028,45.62284,49.0174,-1.48518136789093,-1.79916152931368,24,0,0,59
"50",2003-02-19,0,0,1,0,1,0,0,0,1,0.247558648672743,-0.87982390544426,-1.49177229929717,-0.631931460934777,49.253,0.468281240077154,0.0648556533890797,-4.415,0,43.79028,45.62284,49.0174,-1.48518136789093,-1.79916152931368,85,0,0,69
"51",2003-02-20,0,0,1,0,1,0,0,0,1,1.2503222466253,-0.338675886427102,-0.376105874268675,-0.569165638289129,49.253,0.57740336454535,0.0880010864741614,-3.247,0,44.21944,45.84604,49.1782,-1.48518136789093,-0.532705438935837,85,0,0,69
"52",2003-02-21,0,0,1,0,1,0,0,0,1,1.2503222466253,-0.338675886427102,-0.376105874268675,-0.569165638289129,49.253,0.412963145014404,0.106352590269324,-3.457,0,44.21944,45.84604,49.1782,-1.48518136789093,-0.532705438935837,85,0,0,69
